Student_ID,Gender,Age,Programming_Skill_Level,Abstraction_Score,Decomposition_Score,Algorithmic_Thinking_Score,Debugging_Score,Pattern_Recognition_Score,Pre_Test_Score,Improvement_Score,Post_Test_Score
S1269,F,6,Intermediate,3,2,3,5,2,67,3,70
S1270,M,11,Beginner,5,3,2,4,1,41,17,58
S1271,M,11,Beginner,1,5,1,1,2,69,23,92
S1272,M,26,Beginner,2,2,5,1,5,68,26,94
S1273,F,21,Beginner,3,2,5,1,2,66,0,66
S1274,F,34,Advanced,5,1,5,2,4,45,28,73
S1275,F,10,Beginner,5,2,4,2,2,69,24,93
S1276,M,22,Intermediate,3,2,3,4,5,46,4,50
S1277,F,15,Intermediate,2,3,1,3,2,46,17,63
S1278,F,33,Beginner,4,1,5,3,1,52,12,64
S1279,F,26,Intermediate,1,1,1,4,1,40,13,53
S1280,M,23,Beginner,5,2,1,2,3,47,19,66
S1281,M,12,Intermediate,2,3,4,5,3,64,2,66
S1282,F,8,Intermediate,1,4,5,4,4,69,22,91
S1283,F,18,Beginner,3,5,2,3,1,69,5,74
S1284,F,20,Beginner,5,1,1,4,3,62,26,88
S1285,F,25,Advanced,4,3,5,4,2,52,27,79
S1286,M,24,Beginner,3,3,1,1,4,63,10,73
S1287,M,8,Beginner,5,2,4,2,5,59,8,67
S1288,M,9,Advanced,2,5,4,1,3,67,19,86
S1289,M,10,Beginner,1,1,2,2,3,63,27,90
S1290,F,6,Beginner,1,4,4,4,1,58,18,76
S1291,F,9,Advanced,5,2,5,2,4,68,6,74
S1292,F,17,Beginner,3,1,4,3,1,56,21,77
S1293,M,33,Beginner,4,1,2,1,1,52,20,72
S1294,F,32,Advanced,2,3,3,4,4,68,30,98
S1295,M,29,Advanced,5,5,1,3,2,55,30,85
S1296,M,15,Intermediate,2,4,1,2,3,63,9,72
S1297,F,28,Beginner,1,5,5,2,1,54,6,60
S1298,F,30,Intermediate,4,3,2,3,3,50,4,54
S1299,F,26,Intermediate,2,4,2,2,4,51,24,75
S1300,M,34,Advanced,5,4,2,1,2,61,27,88
S1301,F,31,Beginner,4,2,1,5,5,64,3,67
S1302,M,25,Beginner,3,4,4,2,2,42,16,58
S1303,F,29,Advanced,5,1,1,4,4,63,25,88
S1304,M,30,Intermediate,2,5,1,2,2,64,27,91
S1305,M,18,Advanced,4,5,1,4,5,48,4,52
S1306,F,28,Beginner,5,2,4,2,1,67,16,83
S1307,M,19,Advanced,4,4,3,2,2,53,27,80
S1308,M,28,Beginner,4,3,5,4,4,69,28,97
S1309,F,10,Intermediate,4,1,3,1,2,46,16,62
S1310,M,9,Beginner,2,2,3,5,5,67,16,83
S1311,F,19,Intermediate,5,4,1,5,4,50,0,50
S1312,M,15,Intermediate,1,3,3,1,2,49,23,72
S1313,F,22,Beginner,1,4,1,2,4,42,1,43
S1314,F,15,Beginner,2,2,1,5,5,58,24,82
S1315,M,31,Intermediate,2,3,5,1,1,41,22,63
S1316,M,12,Advanced,4,3,2,1,5,56,29,85
S1317,M,21,Beginner,5,3,1,5,1,68,26,94
S1318,M,6,Intermediate,5,3,3,4,3,41,18,59
S1319,M,22,Intermediate,3,4,5,3,5,60,8,68
S1320,F,26,Advanced,3,3,3,4,1,55,19,74
S1321,M,34,Beginner,1,4,2,2,3,56,22,78
S1322,F,14,Intermediate,3,3,4,4,3,49,14,63
S1323,F,11,Advanced,3,3,2,3,3,43,18,61
S1324,M,24,Intermediate,1,2,5,3,4,50,4,54
S1325,F,18,Beginner,1,4,2,1,5,65,12,77
S1326,F,8,Advanced,3,4,2,2,5,65,3,68
S1327,F,12,Intermediate,5,5,5,1,5,56,12,68
S1328,F,27,Advanced,3,2,5,4,5,67,5,72
S1329,M,14,Beginner,4,4,3,4,4,65,11,76
S1330,F,27,Advanced,4,2,1,5,5,63,28,91
S1331,M,10,Beginner,4,2,4,1,1,51,8,59
S1332,M,15,Intermediate,2,2,4,1,3,60,14,74
S1333,F,28,Beginner,4,1,4,1,4,49,20,69
S1334,M,22,Intermediate,5,4,2,1,4,55,14,69
S1335,M,17,Intermediate,2,2,5,3,5,43,16,59
S1336,M,28,Beginner,2,1,5,5,3,42,28,70
S1337,F,21,Intermediate,4,1,5,2,1,48,4,52
S1338,M,8,Advanced,3,3,1,2,3,45,4,49
S1339,M,35,Intermediate,1,3,5,2,2,51,24,75
S1340,M,30,Beginner,3,4,5,3,3,40,23,63
S1341,F,27,Advanced,3,3,2,5,1,53,4,57
S1342,M,14,Advanced,2,4,3,5,1,63,20,83
S1343,F,34,Intermediate,2,1,4,3,1,49,30,79
S1344,F,20,Intermediate,2,1,2,1,4,57,13,70
S1345,F,10,Beginner,5,4,2,4,4,52,1,53
S1346,F,28,Advanced,5,3,2,1,2,48,8,56
S1347,F,18,Beginner,1,3,4,2,3,66,13,79
S1348,F,19,Intermediate,2,4,2,1,5,62,26,88
S1349,M,25,Advanced,4,5,3,3,2,58,14,72
S1350,F,20,Beginner,2,3,5,2,5,43,3,46
S1351,M,21,Beginner,5,2,3,4,5,42,22,64
S1352,M,28,Beginner,2,3,5,2,2,45,25,70
S1353,F,18,Beginner,5,5,5,1,3,48,5,53
S1354,M,22,Beginner,2,1,2,5,5,49,13,62
S1355,M,28,Advanced,4,1,2,5,4,48,4,52
S1356,M,13,Beginner,1,1,4,5,4,56,26,82
S1357,M,26,Advanced,4,3,1,2,2,49,10,59
S1358,F,7,Beginner,5,1,3,5,5,45,20,65
S1359,M,10,Intermediate,3,5,4,3,2,55,13,68
S1360,F,11,Intermediate,4,5,4,4,4,56,6,62
S1361,M,17,Beginner,2,3,3,5,2,50,13,63
S1362,M,23,Intermediate,1,2,3,3,5,59,12,71
S1363,F,35,Advanced,2,3,5,3,5,46,17,63
S1364,M,27,Beginner,2,1,1,2,4,43,24,67
S1365,M,27,Advanced,4,3,2,2,1,64,1,65
S1366,M,6,Beginner,1,5,1,4,1,69,8,77
S1367,F,35,Intermediate,3,3,1,4,3,49,10,59
S1368,M,22,Advanced,2,3,2,1,4,60,19,79
S1369,F,35,Intermediate,1,2,1,4,3,53,28,81
S1370,M,16,Intermediate,3,5,4,2,4,64,25,89
S1371,F,15,Beginner,2,4,4,3,5,56,10,66
S1372,F,24,Advanced,1,4,2,1,4,68,25,93
S1373,M,19,Intermediate,4,5,2,4,2,67,5,72
S1374,M,31,Beginner,2,4,3,3,3,53,0,53
S1375,F,15,Beginner,2,1,3,2,4,59,4,63
S1376,F,20,Beginner,1,4,1,5,3,62,21,83
S1377,M,33,Intermediate,2,1,1,1,4,52,24,76
S1378,F,24,Beginner,3,5,2,3,1,41,13,54
S1379,M,9,Advanced,2,4,1,2,3,70,24,94
S1380,M,7,Advanced,5,4,5,2,5,48,15,63
S1381,M,14,Intermediate,3,1,4,1,5,42,8,50
S1382,M,15,Advanced,1,1,1,1,4,43,29,72
S1383,F,33,Beginner,3,3,1,4,5,51,18,69
S1384,M,16,Intermediate,5,2,3,4,5,69,28,97
S1385,F,19,Beginner,5,4,5,1,3,70,19,89
S1386,M,12,Intermediate,2,2,1,1,4,54,7,61
S1387,F,28,Intermediate,2,2,4,3,3,59,7,66
S1388,M,20,Beginner,4,4,1,4,4,47,15,62
S1389,F,27,Advanced,3,1,2,2,5,57,17,74
S1390,F,24,Advanced,4,3,5,4,4,44,7,51
S1391,M,27,Intermediate,5,5,1,4,4,41,22,63
S1392,M,20,Beginner,2,4,5,1,2,67,8,75
S1393,M,35,Beginner,2,4,1,1,4,61,4,65
S1394,M,33,Intermediate,2,5,4,4,2,48,1,49
S1395,F,29,Advanced,1,2,4,5,3,67,20,87
S1396,M,13,Beginner,5,3,5,5,2,64,13,77
S1397,F,16,Advanced,2,2,3,4,3,53,17,70
S1398,F,34,Advanced,5,5,3,5,4,40,12,52
S1399,M,14,Intermediate,2,5,2,4,3,59,11,70
S1400,F,20,Intermediate,3,3,3,1,5,43,14,57
S1401,F,6,Advanced,5,5,5,1,4,56,20,76
S1402,F,35,Beginner,4,5,3,1,2,49,14,63
S1403,F,6,Beginner,1,3,2,2,1,41,28,69
S1404,M,24,Intermediate,4,4,1,1,4,45,30,75
S1405,M,8,Advanced,5,2,3,1,5,65,24,89
S1406,M,15,Beginner,2,4,5,4,3,70,22,92
S1407,M,13,Beginner,5,4,5,5,2,58,22,80
S1408,F,20,Intermediate,1,2,2,5,2,48,0,48
S1409,F,15,Advanced,5,4,2,1,5,58,24,82
S1410,M,6,Beginner,2,3,4,1,5,58,21,79
S1411,M,34,Intermediate,4,2,4,1,4,70,6,76
S1412,M,23,Beginner,3,1,4,4,1,48,12,60
S1413,F,7,Beginner,4,4,1,4,1,42,27,69
S1414,M,24,Beginner,2,5,5,4,3,45,17,62
S1415,M,18,Intermediate,2,2,4,5,2,45,0,45
S1416,M,27,Advanced,1,1,5,2,4,56,10,66
S1417,F,6,Intermediate,5,5,2,5,2,52,12,64
S1418,F,7,Advanced,5,1,1,4,4,52,19,71
S1419,F,34,Beginner,4,4,2,3,5,46,27,73
S1420,F,21,Advanced,3,5,5,2,3,48,8,56
S1421,F,20,Beginner,3,4,4,1,5,64,29,93
S1422,F,18,Beginner,1,5,2,5,2,64,24,88
S1423,F,21,Intermediate,2,2,3,2,3,57,29,86
S1424,F,22,Beginner,1,3,1,3,4,40,15,55
S1425,M,26,Intermediate,5,3,5,2,4,61,10,71
S1426,M,34,Advanced,2,1,4,5,3,61,2,63
S1427,F,34,Advanced,1,5,2,4,5,59,16,75
S1428,F,12,Beginner,4,4,1,1,3,52,1,53
S1429,M,29,Intermediate,5,2,4,4,5,47,30,77
S1430,F,31,Beginner,3,2,2,4,3,60,8,68
S1431,F,22,Intermediate,1,2,5,5,5,62,8,70
S1432,F,12,Intermediate,5,3,3,4,1,48,15,63
S1433,M,18,Intermediate,5,4,3,4,3,68,27,95
S1434,M,10,Advanced,3,2,5,5,5,40,0,40
S1435,M,31,Intermediate,3,2,1,5,2,48,24,72
S1436,M,22,Advanced,3,1,5,3,2,68,16,84
S1437,M,8,Intermediate,1,5,2,4,3,68,9,77
S1438,F,12,Advanced,3,5,1,2,3,59,19,78
S1439,M,31,Advanced,4,5,3,1,4,62,4,66
S1440,F,22,Advanced,5,1,2,1,5,50,7,57
S1441,F,12,Beginner,3,3,4,5,3,59,12,71
S1442,M,26,Intermediate,5,1,4,5,2,43,20,63
S1443,M,6,Beginner,2,2,4,3,2,68,4,72
S1444,F,22,Intermediate,2,4,3,4,2,55,3,58
S1445,F,35,Intermediate,3,2,5,5,5,70,24,94
S1446,F,22,Beginner,5,2,1,5,1,53,28,81
S1447,M,16,Advanced,2,4,3,1,3,70,7,77
S1448,M,30,Intermediate,3,5,2,4,1,59,24,83
S1449,M,32,Advanced,5,1,2,3,5,61,22,83
S1450,M,34,Beginner,3,3,4,5,3,60,6,66
S1451,M,8,Advanced,5,2,1,5,4,57,4,61
S1452,F,20,Intermediate,2,2,4,5,3,64,9,73
S1453,M,34,Intermediate,3,3,2,1,3,66,16,82
S1454,F,26,Intermediate,2,1,2,5,3,61,27,88
S1455,F,16,Beginner,3,2,5,5,3,65,5,70
S1456,F,31,Intermediate,1,3,5,1,3,61,9,70
S1457,M,33,Beginner,2,2,5,5,5,48,15,63
S1458,M,21,Advanced,2,5,4,4,3,40,21,61
S1459,M,30,Intermediate,4,5,1,4,5,62,9,71
S1460,F,27,Intermediate,2,2,5,1,3,42,3,45
S1461,F,33,Intermediate,5,2,3,4,3,59,1,60
S1462,F,14,Advanced,3,5,5,3,5,40,30,70
S1463,F,29,Intermediate,1,2,4,5,3,42,0,42
S1464,F,29,Beginner,5,1,1,3,2,53,2,55
S1465,F,6,Advanced,5,1,5,4,3,69,26,95
S1466,M,34,Advanced,5,4,1,1,4,53,12,65
S1467,M,30,Advanced,5,1,3,1,5,62,30,92
S1468,M,27,Advanced,1,2,2,3,3,69,28,97
S1469,M,21,Advanced,4,2,1,4,3,61,24,85
S1470,F,14,Beginner,2,3,5,5,5,52,11,63
S1471,F,24,Advanced,5,1,4,4,1,40,0,40
S1472,M,17,Intermediate,2,5,4,4,2,54,20,74
S1473,F,24,Advanced,2,5,4,1,2,64,9,73
S1474,M,27,Advanced,5,4,4,2,3,59,5,64
S1475,M,14,Advanced,4,3,1,5,5,46,30,76
S1476,M,12,Advanced,2,5,4,5,4,55,8,63
S1477,F,19,Advanced,3,4,2,1,3,59,0,59
S1478,M,34,Beginner,2,1,3,4,2,62,11,73
S1479,M,24,Beginner,5,3,1,1,3,60,4,64
S1480,M,24,Advanced,1,3,1,4,5,40,0,40
S1481,F,7,Beginner,2,2,4,2,4,54,1,55
S1482,F,14,Intermediate,4,1,4,2,1,59,13,72
S1483,M,18,Advanced,3,3,1,3,4,54,1,55
S1484,F,20,Intermediate,3,4,4,4,3,58,26,84
S1485,F,8,Intermediate,1,5,4,1,2,45,4,49
S1486,F,16,Advanced,1,1,4,1,5,45,9,54
S1487,F,26,Intermediate,2,1,4,1,3,40,19,59
S1488,F,19,Intermediate,5,3,4,3,1,69,5,74
S1489,F,35,Intermediate,4,3,5,5,5,69,4,73
S1490,F,30,Advanced,3,3,5,1,5,55,1,56
S1491,F,13,Advanced,1,4,5,2,5,66,8,74
S1492,F,23,Intermediate,4,2,1,1,3,57,28,85
S1493,F,24,Advanced,5,3,3,1,1,52,9,61
S1494,M,21,Advanced,3,2,1,1,3,51,7,58
S1495,M,7,Intermediate,3,2,5,5,5,57,30,87
S1496,F,13,Advanced,5,1,1,1,5,67,24,91
S1497,M,27,Beginner,3,5,3,5,2,49,26,75
S1498,M,11,Advanced,5,5,4,5,4,53,5,58
S1499,F,17,Beginner,3,4,2,3,3,59,4,63
S1500,F,20,Intermediate,2,4,5,2,1,68,20,88
S1501,F,30,Advanced,5,5,5,1,5,64,17,81
S1502,M,13,Intermediate,4,5,3,1,3,50,26,76
S1503,M,9,Intermediate,2,1,4,1,4,57,19,76
S1504,F,20,Intermediate,4,1,4,5,3,66,17,83
S1505,F,33,Intermediate,3,5,2,4,4,63,1,64
S1506,F,25,Intermediate,4,3,4,2,3,66,11,77
S1507,M,30,Advanced,2,3,3,1,2,51,7,58
S1508,M,22,Beginner,5,1,4,4,3,56,3,59
S1509,M,18,Advanced,1,2,3,4,2,67,27,94
S1510,M,23,Advanced,4,5,5,4,4,63,29,92
S1511,F,7,Advanced,1,4,5,2,5,42,19,61
S1512,F,18,Advanced,4,3,5,4,5,69,22,91
S1513,F,18,Beginner,4,2,1,1,3,70,3,73
S1514,F,27,Advanced,5,3,5,1,1,60,8,68
S1515,M,20,Intermediate,3,2,3,3,3,40,8,48
S1516,M,25,Advanced,2,5,2,5,2,40,11,51
S1517,F,34,Advanced,2,5,4,4,2,45,13,58
S1518,F,32,Beginner,2,5,5,5,4,58,29,87
S1519,M,15,Beginner,3,1,1,5,3,63,2,65
S1520,F,34,Intermediate,1,2,1,5,4,43,5,48
S1521,M,8,Advanced,2,4,3,5,1,61,14,75
S1522,F,24,Advanced,1,4,2,5,5,52,22,74
S1523,F,8,Advanced,3,5,5,1,5,65,18,83
S1524,F,27,Intermediate,3,4,5,2,3,51,3,54
S1525,F,19,Beginner,5,3,1,4,4,64,29,93
S1526,F,13,Intermediate,2,2,3,4,4,69,0,69
S1527,F,32,Advanced,5,2,1,1,1,47,26,73
S1528,F,28,Beginner,2,2,1,1,4,59,8,67
S1529,M,35,Beginner,3,3,2,5,2,65,22,87
S1530,M,9,Intermediate,3,1,3,2,2,63,25,88
S1531,M,32,Beginner,4,3,2,4,2,70,15,85
S1532,M,33,Beginner,4,2,3,3,3,46,22,68
S1533,M,25,Advanced,3,2,5,1,2,60,30,90
S1534,F,16,Advanced,3,2,4,3,2,46,8,54
S1535,F,31,Beginner,1,4,4,4,5,46,11,57
S1536,M,16,Beginner,1,1,3,1,3,53,13,66
S1537,F,32,Intermediate,5,3,4,4,2,68,14,82
S1538,M,35,Intermediate,4,2,1,1,1,65,21,86
S1539,M,16,Beginner,4,5,5,4,2,57,23,80
S1540,F,7,Advanced,3,1,5,3,3,62,20,82
S1541,F,35,Beginner,3,5,4,2,4,58,15,73
S1542,F,22,Beginner,5,1,3,1,5,63,7,70
S1543,M,14,Advanced,4,2,1,3,5,63,27,90
S1544,F,33,Advanced,1,1,3,4,3,64,9,73
S1545,M,33,Intermediate,2,1,4,3,2,66,13,79
S1546,M,7,Intermediate,5,2,5,1,1,59,16,75
S1547,M,34,Intermediate,2,5,5,3,2,65,2,67
S1548,F,29,Intermediate,1,5,3,4,2,58,30,88
S1549,F,20,Advanced,1,4,2,5,1,64,3,67
S1550,M,21,Beginner,2,5,3,2,5,64,15,79
S1551,F,30,Intermediate,5,5,2,2,2,57,13,70
S1552,F,9,Intermediate,2,1,3,5,4,45,26,71
S1553,F,13,Advanced,5,4,2,1,4,55,24,79
S1554,M,14,Advanced,5,2,2,3,3,42,23,65
S1555,M,31,Beginner,3,2,2,3,3,60,13,73
S1556,F,31,Beginner,4,3,2,5,1,41,15,56
S1557,M,10,Advanced,4,4,1,5,1,54,7,61
S1558,F,21,Intermediate,1,1,2,4,3,59,17,76
S1559,F,18,Intermediate,3,3,2,4,2,50,6,56
S1560,F,35,Intermediate,4,3,5,2,5,58,30,88
S1561,F,12,Beginner,5,2,1,1,4,57,27,84
S1562,M,31,Intermediate,5,5,2,1,1,61,2,63
S1563,M,25,Intermediate,2,1,4,5,3,50,5,55
S1564,M,22,Advanced,2,4,1,2,4,42,30,72
S1565,F,8,Intermediate,5,3,5,2,1,43,19,62
S1566,F,10,Advanced,5,1,3,4,1,45,15,60
S1567,F,24,Intermediate,2,2,5,3,2,51,21,72
S1568,M,17,Beginner,4,3,5,1,1,68,3,71
S1569,F,34,Intermediate,1,3,1,2,5,67,18,85
S1570,M,32,Intermediate,2,2,1,4,1,70,1,71
S1571,M,12,Advanced,4,2,4,4,5,60,3,63
S1572,M,33,Advanced,4,2,4,4,2,43,25,68
S1573,M,14,Advanced,4,1,1,3,5,68,1,69
S1574,M,33,Intermediate,3,1,1,2,4,69,6,75
S1575,M,11,Intermediate,3,1,1,5,1,51,14,65
S1576,F,34,Beginner,4,5,3,5,3,43,16,59
S1577,F,31,Intermediate,5,3,5,4,3,41,13,54
S1578,M,22,Beginner,3,1,4,4,5,51,10,61
S1579,M,21,Advanced,2,5,4,3,2,52,16,68
S1580,F,28,Advanced,3,3,2,4,5,65,4,69
S1581,M,8,Advanced,5,1,3,2,5,68,22,90
S1582,M,26,Beginner,1,2,1,4,5,55,13,68
S1583,F,31,Intermediate,3,4,1,4,4,43,16,59
S1584,M,9,Advanced,4,1,3,2,4,67,27,94
S1585,M,15,Intermediate,4,4,4,1,5,47,27,74
S1586,M,10,Intermediate,4,1,1,5,2,44,19,63
S1587,F,26,Advanced,1,2,2,4,1,69,20,89
S1588,F,27,Beginner,5,4,4,2,3,53,1,54
S1589,F,35,Intermediate,2,5,5,5,4,54,6,60
S1590,M,15,Advanced,5,2,3,3,1,69,3,72
S1591,M,17,Intermediate,1,4,4,1,4,50,7,57
S1592,F,15,Intermediate,4,4,5,4,4,49,29,78
S1593,M,34,Intermediate,5,2,2,1,4,49,29,78
S1594,M,18,Intermediate,2,2,3,4,5,63,30,93
S1595,M,16,Intermediate,4,2,1,4,5,45,0,45
S1596,M,27,Beginner,2,3,1,4,4,55,9,64
S1597,M,21,Beginner,3,5,5,1,4,67,0,67
S1598,F,13,Advanced,2,1,4,3,3,65,0,65
S1599,M,13,Beginner,4,4,2,2,1,60,3,63
S1600,F,32,Beginner,3,1,5,2,1,43,16,59
S1601,M,30,Beginner,4,2,2,3,2,65,30,95
S1602,F,13,Intermediate,4,5,2,3,2,48,4,52
S1603,M,18,Intermediate,3,5,2,4,2,49,13,62
S1604,F,32,Advanced,2,3,3,4,5,69,29,98
S1605,M,7,Advanced,1,2,5,2,5,44,5,49
S1606,F,35,Advanced,1,4,3,4,3,49,6,55
S1607,M,35,Intermediate,1,3,4,4,5,55,7,62
S1608,F,17,Beginner,1,2,4,3,2,70,23,93
S1609,M,15,Beginner,5,3,1,1,4,50,17,67
S1610,F,17,Intermediate,1,1,1,5,2,45,27,72
S1611,F,16,Advanced,3,2,1,5,3,70,3,73
S1612,M,20,Advanced,1,4,4,4,4,46,22,68
S1613,M,21,Advanced,4,4,2,4,5,66,24,90
S1614,F,22,Intermediate,1,2,2,5,4,51,24,75
S1615,M,31,Advanced,2,3,5,3,3,66,26,92
S1616,F,7,Advanced,3,5,4,5,5,52,2,54
S1617,F,23,Intermediate,3,2,1,5,1,56,27,83
S1618,F,17,Beginner,5,4,4,5,2,48,22,70
S1619,M,24,Intermediate,4,1,2,4,2,67,3,70
S1620,F,31,Intermediate,3,4,2,4,3,47,24,71
S1621,F,28,Intermediate,2,5,3,5,3,67,22,89
S1622,M,23,Intermediate,1,4,3,4,2,66,15,81
S1623,M,35,Beginner,3,5,5,5,4,55,12,67
S1624,M,22,Advanced,2,2,4,3,1,70,28,98
S1625,M,35,Intermediate,1,4,3,4,1,60,21,81
S1626,F,11,Beginner,5,3,3,1,3,42,24,66
S1627,F,30,Advanced,3,3,4,4,3,44,22,66
S1628,F,20,Advanced,3,4,2,3,4,60,10,70
S1629,F,8,Advanced,2,4,5,3,3,64,23,87
S1630,M,11,Intermediate,4,1,5,4,1,62,10,72
S1631,F,8,Intermediate,5,4,5,2,2,52,4,56
S1632,F,35,Advanced,4,1,3,5,1,57,19,76
S1633,M,34,Advanced,3,1,2,5,4,60,0,60
S1634,F,6,Advanced,4,1,5,3,2,55,13,68
S1635,F,35,Advanced,1,1,4,4,2,64,23,87
S1636,F,18,Advanced,5,2,5,2,1,53,21,74
S1637,F,33,Advanced,4,3,1,1,2,50,19,69
S1638,F,26,Beginner,1,1,2,5,2,68,18,86
S1639,F,31,Advanced,2,3,1,2,3,57,4,61
S1640,M,19,Intermediate,4,1,2,5,2,47,19,66
S1641,M,18,Intermediate,5,3,4,4,4,51,26,77
S1642,F,32,Intermediate,1,4,3,5,2,58,26,84
S1643,F,9,Advanced,4,4,3,1,3,59,22,81
S1644,M,12,Intermediate,2,3,2,4,5,41,5,46
S1645,F,27,Beginner,4,1,5,3,5,48,18,66
S1646,F,15,Advanced,1,2,1,2,4,61,11,72
S1647,F,12,Intermediate,4,3,4,5,4,70,25,95
S1648,M,26,Beginner,5,5,5,4,2,48,28,76
S1649,F,20,Beginner,3,2,3,4,2,53,26,79
S1650,M,20,Intermediate,1,5,5,5,5,54,27,81
S1651,F,9,Beginner,1,3,1,3,5,50,13,63
S1652,M,28,Intermediate,1,1,3,5,1,68,16,84
S1653,M,28,Beginner,1,5,2,3,5,52,29,81
S1654,F,11,Advanced,4,3,4,5,5,63,6,69
S1655,M,29,Advanced,5,2,4,4,4,67,20,87
S1656,F,25,Advanced,2,1,3,1,1,64,0,64
S1657,M,31,Advanced,5,5,2,1,1,44,16,60
S1658,F,10,Advanced,1,3,1,4,2,45,5,50
S1659,F,25,Intermediate,4,1,4,1,2,62,3,65
S1660,M,17,Advanced,4,1,3,3,1,44,13,57
S1661,F,6,Advanced,1,4,4,4,1,40,7,47
S1662,F,33,Advanced,4,1,2,3,2,64,17,81
S1663,M,13,Advanced,1,3,1,4,4,57,19,76
S1664,F,6,Beginner,5,2,2,3,4,62,27,89
S1665,F,10,Advanced,3,4,5,3,4,67,12,79
S1666,M,27,Advanced,4,3,2,1,4,63,7,70
S1667,M,11,Intermediate,1,3,2,4,2,70,30,100
S1668,F,34,Beginner,1,3,4,5,3,47,30,77
S1669,F,26,Intermediate,4,5,2,1,5,56,27,83
S1670,M,8,Advanced,2,5,3,3,5,70,23,93
S1671,M,20,Intermediate,1,2,4,3,5,65,15,80
S1672,F,10,Intermediate,4,3,4,5,5,62,4,66
S1673,M,33,Advanced,1,5,5,5,2,64,2,66
S1674,F,29,Beginner,2,5,3,3,3,50,12,62
S1675,F,19,Beginner,3,5,2,5,2,69,14,83
S1676,F,23,Intermediate,2,2,5,2,3,69,3,72
S1677,F,21,Advanced,5,2,3,1,2,50,2,52
S1678,F,11,Intermediate,4,3,5,4,1,42,26,68
S1679,M,30,Intermediate,2,4,1,5,3,47,1,48
S1680,M,29,Intermediate,3,3,2,5,5,47,29,76
S1681,M,19,Advanced,1,5,5,2,3,64,3,67
S1682,M,32,Advanced,4,5,1,4,4,63,24,87
S1683,F,29,Beginner,2,1,2,2,3,60,5,65
S1684,F,13,Advanced,3,3,5,4,4,60,3,63
S1685,F,34,Intermediate,2,5,5,1,4,42,16,58
S1686,F,12,Intermediate,5,5,5,5,1,67,29,96
S1687,M,13,Beginner,4,4,5,1,3,61,6,67
S1688,F,18,Advanced,1,1,4,4,1,49,17,66
S1689,F,11,Intermediate,3,3,5,5,5,58,27,85
S1690,M,23,Beginner,2,2,4,2,3,53,21,74
S1691,M,7,Beginner,4,3,4,3,2,57,9,66
S1692,M,13,Intermediate,2,3,1,2,2,62,16,78
S1693,M,16,Intermediate,4,4,2,3,2,65,28,93
S1694,F,6,Advanced,5,3,4,2,4,42,22,64
S1695,F,27,Beginner,2,4,3,4,2,68,3,71
S1696,M,34,Intermediate,5,4,4,1,5,59,26,85
S1697,F,11,Beginner,3,5,3,3,3,53,18,71
S1698,F,21,Advanced,5,2,1,4,3,50,25,75
S1699,F,32,Intermediate,4,4,3,1,4,49,6,55
S1700,M,25,Advanced,3,1,1,1,4,63,12,75
S1701,F,17,Beginner,2,1,1,5,4,53,2,55
S1702,M,16,Advanced,2,2,1,5,5,40,7,47
S1703,F,34,Advanced,4,4,3,5,3,70,10,80
S1704,F,32,Beginner,1,2,3,3,1,55,15,70
S1705,F,34,Advanced,1,5,1,3,4,64,19,83
S1706,M,15,Beginner,2,1,1,1,2,69,18,87
S1707,F,8,Intermediate,4,3,2,3,1,45,22,67
S1708,M,18,Beginner,1,1,1,1,1,57,22,79
S1709,M,32,Beginner,5,4,5,4,4,55,8,63
S1710,M,8,Intermediate,2,2,2,2,2,58,9,67
S1711,F,20,Beginner,5,1,2,1,4,55,22,77
S1712,F,21,Intermediate,4,3,2,1,4,44,5,49
S1713,F,34,Intermediate,5,3,5,4,2,66,2,68
S1714,F,18,Beginner,1,2,2,5,1,51,19,70
S1715,M,22,Advanced,1,2,2,5,1,45,7,52
S1716,M,8,Advanced,3,1,3,5,2,64,5,69
S1717,M,25,Intermediate,2,4,3,1,1,41,24,65
S1718,F,16,Advanced,4,5,1,1,5,55,7,62
S1719,M,32,Advanced,2,3,1,3,4,60,13,73
S1720,F,26,Beginner,5,2,4,3,5,62,7,69
S1721,M,24,Intermediate,4,5,5,2,5,50,10,60
S1722,F,27,Intermediate,4,5,3,2,5,51,9,60
S1723,F,16,Beginner,1,5,1,3,3,50,25,75
S1724,M,35,Advanced,5,4,5,1,3,62,22,84
S1725,M,33,Intermediate,1,2,2,4,5,59,9,68
S1726,M,21,Advanced,1,3,5,3,4,58,10,68
S1727,M,26,Intermediate,3,2,3,1,5,68,0,68
S1728,F,8,Intermediate,1,1,4,3,5,47,14,61
S1729,M,27,Intermediate,2,3,3,5,3,68,4,72
S1730,M,11,Intermediate,4,2,1,3,5,57,13,70
S1731,M,19,Advanced,1,3,1,5,4,44,22,66
S1732,F,29,Advanced,2,1,5,1,4,51,25,76
S1733,F,23,Advanced,5,3,3,5,5,49,24,73
S1734,M,22,Advanced,4,5,1,3,4,54,27,81
S1735,F,9,Beginner,5,4,2,5,5,44,19,63
S1736,M,28,Intermediate,2,1,2,4,3,56,7,63
S1737,F,20,Intermediate,5,3,4,5,5,62,16,78
S1738,F,16,Intermediate,5,1,5,5,1,43,3,46
S1739,F,31,Beginner,5,5,1,2,3,70,3,73
S1740,F,8,Advanced,1,4,4,4,4,70,17,87
S1741,M,8,Intermediate,1,1,2,1,4,65,26,91
